cliente;frecuencia;recencia;ticket_promedio;ticket;cl_value
70830747;15;47;129396.35487179487;5046457.84;1940945.3230769231
70878293;19;19;246560.23024081634;12081451.2818;4684644.374575511
70901313;18;6;126322.95417142856;4421303.396;2273813.175085714
70901657;28;10;299676.8353571429;16781902.78;8390951.39
70904713;11;22;211411.56928;5285289.232;2325527.26208
70906082;14;15;133702.63923076924;3476268.62;1871836.9492307694
70906589;29;0;179763.44855172414;10426280.016;5213140.008
70907361;11;8;183624.9785714286;3856124.5500000003;2019874.7642857146
70926605;13;76;148779.6413125;4760948.522;1934135.3370625
70926877;3;28;167193.376;835966.88;501580.12799999997
70951988;34;20;223239.97567943262;31476836.5708;7590159.173100709
70952017;12;67;126159.75795714287;2649354.9171;1513917.0954857143
70954039;25;18;162431.9532857143;7959165.711;4060798.8321428574
71005037;22;28;243379.36371951218;19957107.825;5354346.001829268
71053418;24;53;223263.8428121951;18307635.1106;5358332.227492683
71080196;32;15;596266.9330377359;94806442.353;19080541.857207548
71080395;68;12;133346.4566165803;51471732.254;9067559.049927462
71083408;17;61;298186.46316129033;9243780.358000001;5069169.873741936
71140229;16;1;368005.11233333335;8832122.696;5888081.797333334
71182740;8;0;190865.58;1908655.7999999998;1526924.64
71240558;64;20;200881.57282821232;71915603.0725;12856420.661005588
71242599;32;7;190673.94518471338;29935809.394;6101566.245910828
71293931;12;27;310537.27350625;4968596.3761;3726447.282075
71369819;37;12;177201.41767245508;29592636.7513;6556452.453880838
71636063;13;14;217282.93470588236;11081429.67;2824678.151176471
71692674;19;55;201711.14586019417;20776248.0236;3832511.7713436894
71780922;4;70;173369.752;866848.76;693479.008
71987585;25;14;227627.59686507934;14340538.6025;5690689.921626983
71992360;39;8;122488.40877329193;19720633.8125;4777047.942158385
71992751;14;5;120215.15516129033;3726669.81;1683012.1722580646
71993199;23;5;224729.43425999998;11236471.713;5168776.98798
71993239;8;54;148345.017;1780140.204;1186760.136
73142846;31;20;188580.47115044246;21309593.24;5845994.605663717
75047683;18;18;179992.87753043478;4139836.1832;3239871.795547826
78292301;18;71;118005.90434;5310265.6953;2124106.27812
80069229;7;61;242392.31014545457;2666315.4116;1696746.171018182
85082195;19;22;227547.49515384616;11832469.748;4323402.407923077
91446896;8;67;153346.6545;1226773.236;1226773.236
92519934;8;70;195179.59444444446;3513232.7;1561436.7555555557
94351311;19;21;1121913.677090909;74046302.688;21316359.864727274
94497147;17;21;159131.95659090907;7001806.09;2705243.2620454542
98344466;7;56;173221.61188;1732216.1188;1212551.28316
98458436;16;14;156134.67998000002;4684040.3994;2498154.8796800002
98475267;38;21;207399.76073026317;110336672.7085;7881190.90775
98480142;14;47;118697.54944444445;2136555.89;1661765.6922222222
98501374;13;12;138914.44485128205;5417663.3492;1805887.7830666667
98506347;30;20;204275.6846956522;23491703.740000002;6128270.540869566
98512048;5;7;137454.53706666667;824727.2224;687272.6853333333
98516838;21;13;216265.2460131579;8218079.3485;4541570.166276316
98523525;11;40;126462.16076923077;3288016.18;1391083.7684615385
98541370;11;0;261522.12184615387;3399787.5840000003;2876743.3403076925
98601170;36;11;127240.03558730158;8016122.242;4580641.281142857
98611369;31;15;127979.82443206107;16765357.0006;3967374.557393893
98621525;9;13;164616.87;5596973.58;1481551.83
98648496;27;7;397525.0557942857;41740130.8584;10733176.506445715
98653342;33;20;195462.0893344156;30101161.7575;6450248.948035714
98655489;26;14;171785.28302325582;14773534.34;4466417.358604651
98656983;19;12;161540.96370344827;23423439.737;3069278.310365517
98666035;20;18;210821.33142857143;7378746.6;4216426.628571428
98703778;13;75;193614.39643999998;3872287.9288;2516987.15372
98705714;25;5;116079.54945855514;30528921.507600002;2901988.7364638783
700310220;7;6;194647.05299999999;2335764.636;1362529.3709999998
700360487;19;62;123406.26242682926;5059656.7595;2344718.986109756
700440199;15;8;122589.23441860465;5271337.08;1838838.5162790697
800236418;37;12;154937.4529740566;32846740.0305;5732685.760040094
810005278;12;18;164833.9731578947;3131845.4899999998;1978007.6778947366
811006470;2;78;236932.765;473865.53;473865.53
811015028;68;7;170974.82784389143;75570873.907;11626288.293384617
811037574;6;11;845238.032;5071428.192;5071428.192
811047163;17;20;1884812.1814294118;32041807.0843;32041807.0843
890907245;30;20;235876.16718122974;72885735.659;7076285.015436892
900026490;16;54;242595.09781065088;40998571.53;3881521.564970414
900067925;6;48;158644.504;951867.024;951867.024
900142782;24;11;221498.16736363637;7309439.523;5315956.016727272
900157201;11;69;213865.89904166665;5132781.577;2352524.889458333
900157318;38;5;179905.1701039634;59008895.7941;6836396.46395061
900233504;37;7;166677.36765690375;39835890.87;6167062.6033054385
900300651;14;11;629280.4425;10068487.08;8809926.195
900308111;20;55;226075.94776530613;11077721.4405;4521518.955306123
900369398;16;6;227206.31741999998;5680157.9355;3635301.0787199996
900383144;35;8;1220620.036090909;107414563.176;42721701.26318181
900387488;29;8;451591.8375;28901877.6;13096163.287500001
900390423;13;41;142409.6948918919;5269158.711;1851326.0335945948
900452125;104;5;1061850.2716746817;750728142.074;110432428.2541669
900462910;19;40;241972.02210869567;22261426.034;4597468.420065218
900463737;33;14;251843.5890029412;42813410.1305;8310838.43709706
900488078;12;42;152046.00336842108;2888874.0640000002;1824552.0404210528
900504992;23;20;222801.18706470588;7575240.3602;5124427.302488236
900523554;21;0;197510.70476190478;12443174.4;4147724.8000000003
900538983;15;8;759858.3694285714;26595042.93;11397875.541428572
900595290;25;46;961170.4397121212;63437249.021;24029260.99280303
900611815;102;7;217508.18120393975;187709560.379;22185834.482801855
900653386;33;5;122000.71672376238;49288289.5564;4026023.6518841586
900656118;12;57;186376.36872941177;3168398.2684;2236516.4247529414
900685680;21;5;342815.73775000003;8227577.706;7199130.49275
900691670;18;64;1282145.0003225806;39746495.01;23078610.00580645
900691735;29;19;156916.7197700483;32481760.9924;4550584.873331401
900692728;32;7;118154.04287150837;21149573.674;3780929.371888268
900699244;5;13;166671.8200142857;1166702.7401;833359.1000714286
900777373;44;12;121250.31962967741;18793799.5426;5335014.063705806
900782092;4;39;244674.0264;1223370.132;978696.1056
900864732;27;10;186269.3529809524;11734969.2378;5029272.530485715
900959358;30;14;151359.94162337662;11654715.505;4540798.248701299
901079451;8;41;135474.51840909093;2980439.4050000003;1083796.1472727275
901104538;15;19;151718.00737857143;4248104.2066;2275770.1106785713
901108396;85;11;151603.2706054645;55486797.041600004;12886278.001464482
901109937;15;13;186744.1664516129;5789069.16;2801162.4967741934
901159536;4;75;248520.88799999998;1242604.44;994083.5519999999
901160060;20;8;156911.6169;10983813.183;3138232.338
901171255;34;7;148860.317140625;19054120.594;5061250.78278125
901180377;13;20;121851.30517391303;2802580.019;1584066.9672608695
901185374;39;14;117133.4042260274;17101477.017;4568202.764815069
901205499;17;83;147734.46779310342;4284299.566;2511485.952482758
901246216;28;7;148499.87831724138;21532482.356;4157996.592882759
901249958;33;4;184934.56621736527;30884072.5583;6102840.685173054
901253182;18;47;237608.9604622093;40868741.1995;4276961.288319767
901295332;30;15;1339738.702189655;77704844.727;40192161.06568965
901304593;13;42;151574.78;1970472.1400000001;1970472.14
901308746;10;12;130396.91457894736;2477541.377;1303969.1457894736
901319018;20;14;156563.58957619048;3287835.3811;3131271.7915238095
901329386;21;40;433986.2296363637;19095394.104000002;9113710.822363637
901346458;66;7;137891.92831494738;65498665.9496;9100867.268786527
901347159;40;0;1030296.6273366072;115393222.2617;41211865.093464285
901349734;41;7;730099.3196101796;121926586.3749;29934072.104017366
901349926;45;7;836341.3178635245;204067281.5587;37635359.30385861
901379714;33;14;143338.56572727274;25227587.568;4730172.669000001
901382101;42;13;486306.5578114286;68082918.0936;20424875.428080004
901395096;38;19;490273.25251212117;64716069.331599995;18630383.595460605
901403686;12;71;326422.56482666667;9792676.9448;3917070.7779200003
901420259;33;8;121975.42563636364;9392107.774;4025189.046
901444903;14;60;308579.7031818182;6788753.47;4320115.844545455
901444923;27;5;701093.2340526317;106566171.576;18929517.319421053
901456027;17;18;174228.7994063291;27528150.3062;2961889.589907595
901461053;7;14;209243.6;2510923.2;1464705.2
901473927;18;26;166565.45141772152;13158670.662;2998178.1255189874
901497121;33;13;213702.65992066116;51716043.7008;7052187.777381818
901538071;14;21;520355.3380625;16651370.818;7284974.732875
901539604;18;11;252845.43411904766;10619508.233000001;4551217.814142858
901542824;19;1;292323.78836363635;16077808.36;5554151.978909091
901555081;60;0;155248.0772474359;84765450.1771;9314884.634846155
901584438;35;12;161318.66057608696;51944608.7055;5646153.120163044
901595183;50;12;144153.8456995708;33587846.048;7207692.284978541
901636653;27;7;284348.48230434785;13080030.186;7677409.022217392
901649329;23;26;139876.41439714286;4895674.5039;3217157.5311342855
901650536;40;0;185180.42905;14814434.324000001;7407217.1620000005
901653585;12;70;477413.39705263154;9070854.544;5728960.764631579
901658812;79;22;664015.3357003311;200532631.3815;52457211.52032616
901662761;5;60;212060.18520000004;1272361.1112000002;1060300.9260000002
901675026;18;5;129758.00230526316;4930804.0876;2335644.041494737
901718787;37;5;198063.99624030228;78631406.5074;7328367.860891185
901729567;32;14;151684.09622455089;50662488.139;4853891.079185628
901759504;52;20;252224.41527368422;23961319.451;13115669.59423158
901782676;9;12;294116.8403255814;12647024.134;2647051.5629302324
901808579;11;20;122274.00555789474;4646412.2112;1345014.061136842
901811113;21;19;177986.3740733333;5339591.2222;3737713.8555399994
901816917;12;49;165093.02002702703;6108441.741;1981116.2403243245
901828448;13;84;124778.63163703705;3369023.0542;1622122.2112814817
901842888;11;67;149358.8324;3733970.81;1642947.1564000002
901849838;28;8;119976.4050643979;22915493.3673;3359339.341803141
901860172;9;28;855309.82533;8553098.2533;7697788.427970001
901868535;16;50;303749.45661818184;6682488.0456;4859991.305890909
