cliente;frecuencia;recencia;ticket_promedio;ticket;cl_value
4572710;13;39;61160.09193548388;1895962.85;795081.1951612904
4590968;5;20;60485.49555555555;1088738.92;302427.47777777776
4807739;9;54;60040.927741935484;3722537.52;540368.3496774194
4829421;18;54;74602.1309225;5968170.4738;1342838.356605
4841127;19;0;63537.341909090916;6989107.61;1207209.4962727274
4854939;12;19;93461.1716923077;2429990.464;1121534.0603076925
4860361;14;41;72939.31157024793;8825656.7;1021150.361983471
4861659;7;13;66039.39428571428;924551.52;462275.76
6631548;31;11;63908.03412698412;8052412.3;1981149.0579365077
6695851;16;5;70998.75379807691;3691935.1975;1135980.0607692306
6862464;31;14;56592.26671621622;4187827.737;1754360.2682027027
6888231;55;12;60207.851156174336;24865842.5275;3311431.8135895883
7557425;36;11;89049.61200695187;16652277.4453;3205786.032250267
8010742;16;62;60522.93784473684;2299871.6381;968367.0055157895
8011051;30;5;71676.02795454545;6307490.46;2150280.838636364
8012561;27;5;59161.8145;4496297.902;1597368.9915
8013432;37;5;73397.25433941177;24955066.4754;2715698.4105582354
8013502;24;5;63408.03064367816;5516498.666;1521792.735448276
8015624;17;25;92387.35694791666;4434593.1334999995;1570585.0681145831
8046747;33;5;92382.48703794871;18014584.9724;3048622.0722523076
8047660;19;61;86868.60304918034;5298984.786;1650503.4579344264
8071084;16;47;92333.95397894736;1754345.1256;1477343.2636631578
8085293;21;12;62102.50285714286;3043022.64;1304152.56
8100316;28;0;105204.14945679012;8521536.106;2945716.1847901233
8110958;26;18;115330.29553491379;26756628.5641;2998587.6839077584
8151395;13;40;104104.02212903225;3227224.6859999998;1353352.2876774194
8153548;22;15;67575.14570886076;5338436.511;1486653.2055949366
8156011;5;55;93699.9986;468499.993;468499.993
8166312;35;6;76727.86452022793;26931480.4466;2685475.2582079777
8203521;20;12;82672.92421621621;3058898.196;1653458.4843243242
8303141;10;19;85073.398125;1361174.37;850733.9812500001
8335914;35;12;115063.38013714286;40272183.048;4027218.3048
8339185;10;26;103171.72446666667;1547575.867;1031717.2446666667
8395727;13;68;64985.98533333334;1949579.56;844817.8093333334
8439730;13;70;60950.06782608696;1401851.56;792350.8817391305
8461872;15;42;56229.1982;1686875.946;843437.973
8472189;20;40;108437.60395714287;3036252.9108;2168752.0791428573
8645205;33;6;59763.014885714285;10458527.605;1972179.4912285714
8669008;13;61;101282.28836216216;3747444.6694;1316669.748708108
9185932;30;14;59499.56131818181;5235961.396;1784986.8395454544
9697979;15;41;91314.33198817204;8492232.8749;1369714.9798225805
