;cliente;frecuencia;recencia;ticket_promedio;ticket;cl_value;cluster;pca1;pca2
6110;1020466836;18;87;16059.87607142857;449676.52999999997;289077.76928571425;0;-0.1883947347588316;-0.5975916532716963
6111;1020466879;21;46;22520.865858208956;1508898.0125;472938.1830223881;1;1.3449240139297785;0.9205674861581541
6112;1020469939;26;15;16732.538114285715;585638.834;435045.9909714286;1;1.017555487599117;-0.8205507062187836
6113;1020470231;2;87;16744.5456;167445.456;33489.0912;0;-2.2696775788385555;0.3741072974216359
6114;1020471133;4;18;17640.048436363635;194040.5328;70560.19374545454;0;-1.898178639908848;0.5111425690012498
6115;1020476139;7;67;10438.566;208771.32;73069.962;0;-2.3436533535846227;-1.5316875806728438
6116;1020476357;10;17;22338.909125;357422.546;223389.09125;2;-0.4341991079487317;1.4414901128216941
6117;1020476961;2;10;21067.682375;84270.7295;42135.36475;2;-1.833282781123414;1.5180845693879088
6118;1020478616;23;17;13612.533890909091;598951.4912;313088.27949090913;0;0.036473076006859166;-1.4741082255081612
6119;1020479092;4;18;15802.652222222221;142223.87;63210.608888888884;0;-2.097959397619051;0.026231966222010853
6120;1020484914;26;18;22261.17962162162;823663.646;578790.6701621622;1;2.092213692694967;0.5956132833821397
6121;1020487989;8;67;11863.702105263157;225410.34;94909.61684210526;0;-2.0539895556656265;-1.2050129689314404
6122;1020491084;11;87;13317.802307692307;346262.86;146495.82538461537;0;-1.502067283456502;-0.9686317086688909
6123;1020491497;33;46;15991.856695384617;1039470.6852000001;527731.2709476923;1;1.8125263490135084;-1.355962624722618
6124;1020491687;5;1;16386.109818181816;180247.20799999998;81930.54909090907;0;-1.898849998467481;0.13069052080353236
6125;1020493437;7;17;17249.99625;137999.97;120749.97375;0;-1.5234898507348396;0.25872044217548495
6126;1020494795;4;16;18595.524545454544;204550.77;74382.09818181818;2;-1.794289375536234;0.763304020317256
6127;1020501075;5;21;10566.13028125;169058.0845;52830.65140625;0;-2.5543166713571606;-1.4032177143331837
6128;1020764224;5;16;20351.40818181818;223865.49;101757.0409090909;2;-1.4522640768273118;1.1757807614407856
6129;1020791855;27;7;12287.854895522387;823286.2779999999;331772.08217910444;0;0.27331189465491224;-2.0071352808554273
6130;1020794173;2;60;15711.866571428573;109983.066;31423.733142857145;0;-2.373920349593385;0.10084244381960658
6131;1021633201;14;2;23615.821428571428;495932.25;330621.5;2;0.3897328970765041;1.5674859610093137
6132;1021678733;12;23;21114.74807647059;717901.4346;253376.9769176471;2;-0.2877393097328124;1.0186287060155612
6133;1021806153;2;35;20998.042857142857;146986.3;41996.08571428571;2;-1.8403124738881653;1.4996567402893806
6134;1022032498;11;38;22299.45855;535187.0052;245294.04405;2;-0.2807185814319619;1.3795531648199921
6135;1022034454;46;4;16392.222414814816;2212950.026;754042.2310814816;1;3.665277672901701;-1.898222034473172
6136;1022062074;15;58;14032.086317307692;729668.4885;210481.29475961538;0;-0.898916214321824;-0.9766569832041991
6137;1022098117;29;16;18109.854848101266;1430678.533;525185.7905949367;1;1.7124205692693344;-0.6181431988313353
6138;1022099703;17;36;16186.724545454546;356107.94;275174.31727272726;0;-0.302582253898212;-0.515288884901516
6139;1022122206;8;42;13310.012579999999;332750.3145;106480.10063999999;0;-1.8742087480505245;-0.8253554977319912
6140;1022122997;9;2;17028.278666666665;255424.18;153254.50799999997;0;-1.273847004660867;0.10094248784452087
6141;1022124533;14;8;19255.622;481390.55;269578.708;2;-0.25410325346584933;0.4321600984438042
6142;1022933688;8;37;18512.090588235293;314705.54;148096.72470588234;2;-1.2275745696128224;0.5401934740046853
6143;1023008172;4;10;12844.688888888888;115602.2;51378.75555555555;0;-2.419579825191592;-0.7544095589570328
6144;1023624928;4;7;16546.04565;297828.8217;66184.1826;0;-2.0171299602145396;0.22242228836997147
6145;1023722652;2;35;21831.908;109159.54;43663.816;2;-1.7561387756505356;1.7203119776692994
6146;1023723538;27;10;14993.698040384616;779672.2981;404829.84709038463;1;0.8098084244057471;-1.3149869468726716
6147;1023748466;2;50;12794.04725;102352.378;25588.0945;0;-2.668456756562409;-0.671263358319476
6148;1023748861;8;77;23434.339;937373.5599999999;187474.712;2;-0.615724064339932;1.8322869886880515
6149;1023749394;18;1;22488.25438888889;809577.158;404788.579;2;0.8609401698423085;1.0671832780797197
6150;1023800048;15;56;20432.774583333332;490386.58999999997;306491.61874999997;2;0.07114176118502245;0.687721281118653
6151;1023800558;12;24;14090.076666666668;169080.92;169080.92;0;-1.270320441277383;-0.8154393141677604
6152;1023802824;6;18;14843.303333333335;178119.64;89059.82;0;-1.9429428884998106;-0.3249086012399178
6153;1023803028;31;18;20072.11680526316;1525480.8772;622235.6209631579;1;2.416803836873508;-0.21923211680387591
6154;1023830738;23;11;17776.65075714286;1742111.7742;408862.96741428575;1;0.7972598916907371;-0.40306065157611165
6155;1023831676;24;2;14221.681153846152;1109291.13;341320.34769230767;0;0.27500801945868336;-1.3661893980833186
6156;1023832706;7;16;20176.592454545455;443885.034;141236.14718181817;2;-1.1710987512962336;1.02798638661581
6157;1023832866;18;65;23140.99625;462819.925;416537.9325;2;0.967490342332592;1.2362256451211726
6158;1023872665;5;22;11519.8828;172798.242;57599.414;0;-2.4469016905555643;-1.1518476135434035
6159;1023896339;5;46;19286.695238095235;810041.2;96433.47619047618;2;-1.5721758130071555;0.8951660372704227
6160;1023906199;3;46;18067.226666666666;54201.68;54201.67999999999;2;-1.9939461164099999;0.6739958495233375
6161;1025656049;14;8;13467.406666666668;323217.76;188543.69333333336;0;-1.1088032138171025;-1.074998157430895
6162;1025882122;7;85;16686.714285714286;116807.0;116807.0;0;-1.5913145647764577;0.11065982774242834
6163;1026130189;18;17;18061.26095238095;379286.48;325102.6971428571;2;0.1383008810576988;-0.07928746934625662
6164;1026130192;18;43;22655.4544;566386.36;407798.17919999996;2;0.888233026460912;1.110483527889756
6165;1026130729;7;85;13423.068888888889;120807.62;93961.48222222223;0;-1.9842897172005594;-0.7472006637759586
6166;1026131536;19;17;18527.528260869567;426133.15;352023.0369565218;2;0.35841867555421186;-0.008815214189931605
6167;1026131564;20;11;20459.422000000002;613782.66;409188.44000000006;1;0.8328200653887442;0.43985126888641607
6168;1026133945;7;18;13077.7475;104621.98;91544.2325;0;-2.025869824391713;-0.8379695863715904
6169;1026134052;2;17;11736.673333333334;70420.04000000001;23473.346666666668;0;-2.775192328552961;-0.9510629093379898
6170;1026134278;4;15;11109.22;55546.1;44436.88;0;-2.608277987806844;-1.2124203344984248
6171;1026134400;23;11;15294.66306451613;948269.11;351777.250483871;0;0.34379915225959234;-1.0414497703525465
6172;1026135493;16;22;15858.648774193547;491618.11199999996;253738.38038709675;0;-0.48847471990490626;-0.5510305917996585
6173;1026136060;22;42;16077.465454545454;530556.36;353704.24;1;0.35234941266336095;-0.7906921712016733
6174;1026137764;5;60;22027.36375;176218.91;110136.81875;2;-1.2635120351377984;1.6174940065551464
6175;1026141764;18;18;17848.037857142856;499745.06;321264.6814285714;2;0.10349545653986773;-0.13450644467840173
6176;1026144545;18;64;16715.13;367732.86;300872.34;0;-0.08143450549549391;-0.42789872916479427
6177;1026145244;24;34;22301.82125;713658.28;535243.71;1;1.7827121635772678;0.7092432839519766
6178;1026146328;12;85;17613.441764705884;299428.51;211361.3011764706;2;-0.7774871309471204;0.10447435477980603
6179;1026146748;2;18;15529.405999999999;77647.03;31058.811999999998;0;-2.3923386528541144;0.05256019932729194
6180;1026147516;30;9;9079.005633333332;544740.338;272370.169;0;-0.04125125447244269;-2.968786201208364
6181;1026153918;2;15;17647.0;70588.0;35294.0;0;-2.178580205372934;0.6129124466262799
6182;1026153926;5;11;9092.454000000002;45462.270000000004;45462.270000000004;0;-2.720287304562617;-1.7916184242309898
6183;1026156967;9;43;18227.43375;291638.94;164046.90375;2;-1.120119849228915;0.41529845248499564
