cliente;frecuencia;recencia;ticket_promedio;ticket;referencias_unicas;margen_promeido;margen;avg_descuento;cl_value;linea_favorita;marca_favorita
3514072;20;9;34350.16291666667;1648807.82;6;21490.1533625;1031527.3614;0.0;687003.2583333333;MANGANESO;TRONEX
3516103;25;3;24878.846966666664;1044911.5726;14;13246.320133333333;556345.4456;0.02023809523809524;621971.1741666666;MANGANESO;TRONEX
3516320;14;23;28977.839257142856;608534.6244;7;15110.345871428572;317317.2633;0.022857142857142857;405689.7496;MANGANESO;TRONEX
3520335;34;5;26233.883443181814;4617163.486;20;16018.818836363636;2819312.1152;0.011477272727272727;891952.0370681817;MANGANESO;TRONEX
3521643;9;28;32783.70736842105;622890.44;5;19265.810073684213;366050.3914;0.0;295053.3663157894;BOMBILLAS;SB
3521682;23;15;28831.115022784812;2277658.0868;11;18358.413956962024;1450314.7026;0.00037974683544303797;663115.6455240507;MANGANESO;TRONEX
3521829;30;5;34042.07845679012;2757408.355;21;19138.1143308642;1550187.2608;0.014814814814814817;1021262.3537037036;MANGANESO;TRONEX
3522484;16;25;24755.819041791045;1658639.8758;17;13400.965001492537;897864.6551;0.003134328358208955;396093.1046686567;ENCENDEDORES;SL
3522648;16;16;32747.8471875;1047931.11;8;17293.9679125;553406.9732;0.0;523965.555;MANGANESO;TRONEX
3522769;17;16;30524.186612903228;1892499.57;20;17755.276541935484;1100827.1456;0.0004838709677419355;518911.1724193549;OTROS;TRONEX
3523155;12;68;28084.064275862067;814437.864;7;14034.546913793103;407001.8605;0.013793103448275864;337008.7713103448;MANGANESO;TRONEX
3523338;20;16;29515.644915254237;1741423.05;20;19059.0025220339;1124481.1488;0.0005084745762711864;590312.8983050848;ALKALINAS;TRONEX
3525400;12;53;24787.807142857142;520543.95;7;13794.197223809522;289678.1417;0.0;297453.6857142857;ENCENDEDORES;SL
3528315;10;31;27112.796147826088;623594.3114;14;15442.3732;355174.5836;0.014782608695652172;271127.96147826087;OTROS;GP
3528848;20;4;25551.96855;817662.9936;9;13832.913734374999;442653.23949999997;0.015;511039.37100000004;MANGANESO;TRONEX
3528910;14;9;29830.46218181818;656270.168;5;14461.756650000001;318158.6463;0.024545454545454547;417626.47054545453;MANGANESO;TRONEX
3530527;24;23;25618.11730232558;1101579.044;11;13299.727458139534;571888.2807;0.02069767441860465;614834.8152558139;MANGANESO;TRONEX
3530754;7;26;32384.44875;259075.59;5;20654.036825;165232.2946;0.0;226691.14125;ALKALINAS;TRONEX
3530963;35;5;28189.997437500002;2706239.754;16;15774.1677;1514320.0992;0.0009375;986649.9103125001;MANGANESO;TRONEX
3536744;3;18;26314.557142857142;184201.9;4;13740.538085714286;96183.7666;0.0;78943.67142857143;MANGANESO;TRONEX
3538032;27;16;30392.08375;1945093.36;16;18784.7205453125;1202222.1149;0.0;820586.2612500001;BOMBILLAS;TRONEX
3541952;31;1;31609.60832619048;2655207.0994;11;18226.0287;1530986.4108;0.02023809523809524;979897.8581119048;MANGANESO;TRONEX
3545462;24;5;27135.42850819672;1655261.139;23;15071.615416393444;919368.5404;0.003278688524590164;651250.2841967213;MANGANESO;TRONEX
3545761;11;33;26647.727142857144;373068.18;7;14993.207207142857;209904.9009;0.0;293124.9985714286;MANGANESO;TRONEX
3545819;21;9;30486.011775000003;1463328.5652;25;16681.56863125;800715.2943000001;0.0008333333333333334;640206.2472750001;BOMBILLAS;TRONEX
3545822;24;9;33156.53536266666;2486740.1522;18;17949.015988000003;1346176.1991;0.005866666666666667;795756.8487039999;MANGANESO;TRONEX
3550642;26;15;29194.90305915493;4145676.2344;37;17154.89124859155;2435994.5573;0.001197183098591549;759067.4795380282;MANGANESO;TRONEX
3552026;26;2;25083.813082352943;1279274.4672;10;14096.424092156863;718917.6287;0.001764705882352941;652179.1401411765;MANGANESO;TRONEX
3552065;33;16;24205.199119424462;3364522.6776;20;15043.56922086331;2091056.1217;0.005971223021582733;798771.5709410072;ALKALINAS;TRONEX
3556492;12;33;25764.92863414634;1056362.074;13;14909.939536585367;611307.5210000001;0.0007317073170731707;309179.1436097561;MANGANESO;TRONEX
3556663;10;32;26698.864769230768;694170.4839999999;11;14226.400365384616;369886.4095;0.0023076923076923075;266988.64769230766;MANGANESO;TRONEX
3562408;23;12;24323.12760869565;1118863.8699999999;11;14676.81105652174;675133.3086;0.0;559431.9349999999;MANGANESO;TRONEX
3564207;14;16;25919.94419354839;803518.27;11;13787.37703548387;427408.68809999997;0.0;362879.21870967746;MANGANESO;TRONEX
3564417;18;11;28390.86216216216;1050461.9;10;17991.00818918919;665667.303;0.0;511035.5189189189;ALKALINAS;TRONEX
3564497;14;1;25727.470869565215;591731.83;7;13563.528756521739;311961.1614;0.0;360184.592173913;MANGANESO;TRONEX
3564517;19;15;30947.34119047619;3899364.9899999998;30;19262.41336904762;2427064.0845;0.0;587999.4826190476;OTROS;TRONEX
3565252;16;16;32550.791841269842;2050699.886;15;19166.250482539683;1207473.7804;0.0009523809523809524;520812.66946031747;BOMBILLAS;TRONEX
3565790;21;33;24180.582173913044;556153.39;7;13407.81613478261;308379.7711;0.0;507792.2256521739;MANGANESO;TRONEX
3566998;22;12;29901.99748148148;807353.932;8;15246.408411111111;411653.0271;0.0011111111111111111;657843.9445925925;MANGANESO;TRONEX
3567879;18;31;31368.485517241377;1819372.16;20;17682.455268965517;1025582.4056;0.0;564632.7393103448;MANGANESO;TRONEX
3568475;17;8;28463.074784848486;939281.4679;11;16345.759190909092;539410.0533;0.0009090909090909091;483872.27134242427;MANGANESO;TRONEX
3568979;24;2;24204.168242424243;798737.552;6;12397.000206060606;409101.0068;0.009999999999999998;580900.0378181818;MANGANESO;TRONEX
3569678;24;52;25867.424892857143;724287.897;8;13224.463328571428;370284.9732;0.005357142857142858;620818.1974285714;MANGANESO;TRONEX
3572820;18;2;26852.19484590164;1637983.8856;18;14495.918681967214;884251.0396;0.0004918032786885246;483339.50722622947;MANGANESO;TRONEX
3573555;15;61;24585.62394827586;712983.0945;11;13703.828689655173;397411.032;0.003448275862068966;368784.3592241379;MANGANESO;TRONEX
3573968;13;32;28002.14566037736;1484113.72;19;15426.41529245283;817600.0105;0.0;364027.89358490566;ENCENDEDORES;TRONEX
3576280;14;53;23755.183095999997;593879.5774;6;12929.583824;323239.5956;0.013199999999999998;332572.56334399997;MANGANESO;TRONEX
3576438;22;2;24119.285714285714;1013010.0;5;12097.659521428572;508101.6999;0.026904761904761904;530624.2857142857;MANGANESO;TRONEX
3576500;21;32;30228.599166666667;1088229.57;10;15320.052300000001;551521.8828;0.006944444444444444;634800.5825;MANGANESO;TRONEX
3580396;18;12;29039.76478965517;1684306.3577999999;19;16112.665055172414;934534.5732;0.004655172413793104;522715.7662137931;MANGANESO;TRONEX
3581656;17;26;23855.79928333333;1145078.3656;19;12252.67351875;588128.3289;0.0016666666666666668;405548.58781666664;MANGANESO;TRONEX
3582492;29;9;24170.51009615385;1885299.7875;39;11342.621701282053;884724.4927000001;0.0041025641025641026;700944.7927884615;TERCEROS;TRONEX
3584777;31;18;27255.380236559144;2534750.362;14;14356.653970967744;1335168.8193;0.017419354838709676;844916.7873333334;MANGANESO;TRONEX
3584923;15;3;27826.18375;1335656.82;11;14876.5823875;714075.9546;0.0;417392.75625;MANGANESO;TRONEX
3585297;22;24;25259.756137931035;732532.9280000001;11;14009.346520689654;406271.0491;0.0010344827586206897;555714.6350344828;MANGANESO;TRONEX
3585684;22;4;26416.001944444444;950976.07;9;13803.501222222221;496926.044;0.0041666666666666675;581152.0427777778;MANGANESO;TRONEX
3585708;25;11;28781.001452173914;1985889.1002;12;16549.430466666665;1141910.7022;0.014782608695652174;719525.0363043478;MANGANESO;TRONEX
3585778;32;1;30549.2496969697;3024375.72;14;16911.562692929292;1674244.7066;0.00101010101010101;977575.9903030304;MANGANESO;TRONEX
3586170;9;73;30054.271304347825;691248.24;11;16932.386395652175;389444.8871;0.0;270488.4417391304;MANGANESO;TRONEX
3586261;13;74;24118.74888;482374.9776;11;11796.953870000001;235939.0774;0.0015;313543.73543999996;MANGANESO;TRONEX
