cliente;frecuencia;recencia;ticket_promedio;ticket;referencias_unicas;margen_promeido;margen;avg_descuento;cl_value;linea_favorita;marca_favorita
3379482;31;32;37593.09673469388;3684123.48;13;20553.816390816326;2014274.0063;0.0;1165385.9987755101;MANGANESO;TRONEX
3380790;34;3;38923.12684067796;4592928.9672;19;20542.655855932207;2424033.3910000003;0.005508474576271186;1323386.3125830507;MANGANESO;TRONEX
3380888;29;3;40094.70347107438;4851459.12;32;24763.0597892562;2996330.2345000003;0.0;1162746.4006611572;OTROS;TRONEX
3382323;19;33;44765.571517948716;1745857.2892;10;24440.681087179488;953186.5624;0.0056410256410256415;850545.8588410256;BOMBILLAS;TRONEX
3382543;15;23;38680.93739130435;889661.56;4;18903.0831;434770.91130000004;0.0;580214.0608695652;MANGANESO;TRONEX
3382672;20;43;52216.78919428571;5482762.8654;23;31820.61617047619;3341164.6979;0.002380952380952381;1044335.7838857141;ENCENDEDORES;TRONEX
3384694;14;79;34589.66884615384;899331.39;15;19600.253257692308;509606.5847;0.0;484255.36384615384;MANGANESO;TRONEX
3385250;31;15;40883.61379037037;5519287.8617;25;24331.509270370374;3284753.7515000002;0.01955555555555555;1267392.0275014816;MANGANESO;TRONEX
3385605;24;22;38093.62132075472;2018961.93;13;22277.77882075472;1180722.2775;0.0;914246.9116981132;OTROS;GP
3391491;36;1;51850.40688264463;6273899.2328;20;27855.101419834707;3370467.2717999998;0.0023140495867768596;1866614.6477752067;MANGANESO;TRONEX
3398866;22;16;37528.00650847458;2214152.384;16;20342.951822033898;1200234.1575;0.006101694915254237;825616.1431864408;MANGANESO;TRONEX
3408382;9;68;38003.52176923077;988091.566;16;21681.300003846154;563713.8001;0.006923076923076922;342031.69592307694;MANGANESO;TRONEX
3409696;3;12;38424.3825;153697.53;3;21906.457300000002;87625.82920000001;0.0;115273.14749999999;BOMBILLAS;SB
3410287;17;32;42122.79918481013;3327701.1356;15;26613.240782278484;2102446.0218;0.00037974683544303797;716087.5861417722;MANGANESO;TRONEX
3411066;13;45;39760.234;994005.85;9;20787.485644;519687.1411;0.0;516883.04199999996;MANGANESO;TRONEX
3412340;8;57;51227.20583333333;614726.47;8;29640.33973333333;355684.0768;0.0;409817.64666666667;BOMBILLAS;SB
3420880;22;32;51651.028249999996;2892457.582;17;27482.032576785714;1538993.8243;0.01732142857142857;1136322.6215;MANGANESO;TRONEX
3424271;11;65;42812.431363636366;941873.49;8;25359.10648181818;557900.3426;0.0;470936.745;MANGANESO;TRONEX
3424426;33;9;48487.08895301205;8048856.7662;30;30291.462809036144;5028382.8263;0.0007228915662650603;1600073.9354493977;OTROS;TRONEX
3427674;17;18;47876.13839655173;1388408.0135000001;11;25756.887244827587;746949.7301;0.00793103448275862;813894.3527413794;MANGANESO;TRONEX
3427858;32;18;36840.31408877551;14441403.1228;36;22156.23021887755;8685242.2458;0.001326530612244898;1178890.0508408162;BOMBILLAS;TRONEX
3428097;27;18;35926.484418604654;1544838.83;10;18964.222055813952;815461.5484;0.0;970015.0793023256;MANGANESO;TRONEX
3429856;10;5;35941.21466666667;539118.22;7;21656.344953333333;324845.1743;0.0;359412.14666666667;MANGANESO;TRONEX
3438970;5;67;37332.87925925926;1007987.74;20;22746.841277777778;614164.7145;0.0;186664.3962962963;ALKALINAS;TRONEX
3439557;36;12;43401.03723255814;14929956.808;46;25987.72676540698;8939778.0073;0.00046511627906976747;1562437.340372093;BOMBILLAS;TRONEX
3443679;2;19;44117.695;264706.17;5;28250.828316666666;169504.9699;0.0;88235.39;OTROS;TRONEX
3448895;32;16;43001.970881355934;5074232.564;15;24449.304719491527;2885017.9569;0.006355932203389831;1376063.0682033899;MANGANESO;TRONEX
3449504;21;15;45863.7551875;2201460.249;11;24863.45684166667;1193445.9284;0.05760416666666667;963138.8589374999;MANGANESO;TRONEX
3450057;26;3;39005.259825;3120420.786;14;20445.85696625;1635668.5573;0.004124999999999999;1014136.75545;MANGANESO;TRONEX
3452191;31;4;38696.19691558442;5959214.325;20;23153.42491103896;3565627.4363;0.0025324675324675324;1199582.104383117;BOMBILLAS;TRONEX
3455925;14;32;35010.89434482758;1015315.936;6;18307.468148275864;530916.5763000001;0.0010344827586206897;490152.5208275862;MANGANESO;TRONEX
3483382;15;42;52860.24325;1691527.784;7;34455.312221875;1102569.9911;0.014375;792903.6487499999;ALKALINAS;TRONEX
3493441;28;11;48229.8116;2411490.58;5;26628.858109999997;1331442.9054999999;0.0030000000000000005;1350434.7248;MANGANESO;TRONEX
3493480;18;26;53868.69505217391;2477959.9724;21;27285.08112391304;1255113.7317;0.002173913043478261;969636.5109391304;OTROS;TRONEX
3493555;22;25;35127.057051282056;2739910.45;13;22628.878537179487;1765052.5259;0.000641025641025641;772795.2551282053;MANGANESO;TRONEX
3493607;27;66;43703.815709433955;4632604.4651999995;24;22774.093766981136;2414053.9393;0.01349056603773585;1180003.0241547169;MANGANESO;TRONEX
3494024;20;24;47391.861;1895674.44;7;25682.64172;1027305.6688;0.0;947837.22;MANGANESO;TRONEX
3494063;14;31;37454.176636363634;823991.8859999999;7;23641.411381818183;520111.0504;0.002272727272727273;524358.4729090909;ALKALINAS;TRONEX
3497224;30;15;48791.56670166667;5854988.0042;16;28675.761378333333;3441091.3654;0.017;1463747.00105;ENCENDEDORES;TRONEX
3497384;13;2;51117.568734615386;1329056.7871;15;30440.98813846154;791465.6916;0.011538461538461537;664528.39355;BOMBILLAS;SB
3498521;20;19;39199.59766666667;1881580.688;19;23066.28196875;1107181.5345;0.000625;783991.9533333334;ENCENDEDORES;TRONEX
3505881;13;11;35942.582087804876;1473645.8656;14;21546.524424390245;883407.5014000001;0.002195121951219512;467253.5671414634;ENCENDEDORES;SL
3508359;18;10;44743.68215510205;2192440.4256;19;28474.713632653064;1395260.968;0.0006122448979591836;805386.2787918368;OTROS;TRONEX
3508479;17;16;47256.29965853659;3875016.572;17;28462.184400000002;2333899.1208;0.0004878048780487805;803357.094195122;MANGANESO;TRONEX
3524480;16;4;43725.01705581395;1880175.7334;17;26085.752453488374;1121687.3555;0.005116279069767442;699600.2728930232;ALKALINAS;TRONEX
3527888;19;23;39738.60216888889;1788237.0976;9;21902.320573333334;985604.4258;0.018;755033.4412088889;MANGANESO;TRONEX
3530921;17;5;48218.77482105263;1832313.4432;16;26118.6286;992507.8868;0.0015789473684210526;819719.1719578948;MANGANESO;TRONEX
3537526;9;42;36376.818;727536.36;7;22476.03517;449520.7034;0.0;327391.36199999996;MANGANESO;TRONEX
3537531;10;16;36235.1437037037;978348.88;7;18588.807333333334;501897.798;0.0;362351.43703703705;MANGANESO;TRONEX
3538218;18;3;36099.90216666667;2165994.13;13;23849.64132;1430978.4792;0.0;649798.2390000001;ALKALINAS;TRONEX
3541121;22;67;42695.410437499995;2049379.701;7;24559.373822916667;1178849.9435;0.006250000000000001;939299.0296249999;MANGANESO;TRONEX
3541971;14;22;35480.74872727273;1170864.708;6;19430.89833939394;641219.6452;0.009393939393939394;496730.4821818182;ENCENDEDORES;SL
3545974;19;9;37809.43226181818;2079518.7744;18;24081.32113818182;1324472.6626;0.003090909090909091;718379.2129745454;MANGANESO;TRONEX
3551925;9;72;40691.405395454545;1790421.8374;24;22621.568227272728;995349.002;0.003181818181818182;366222.6485590909;OTROS;TRONEX
3551987;20;23;40340.979445;1613639.1778;15;26389.965135;1055598.6054;0.002;806819.5889;OTROS;TRONEX
3555669;19;19;35674.52952380952;1498330.24;20;21913.17603095238;920353.3933;0.0;677816.0609523809;OTROS;TRONEX
3555820;21;9;47510.84222444445;2137987.9001;6;29219.403804444442;1314873.1712;0.025333333333333333;997727.6867133335;MANGANESO;TRONEX
3556164;16;33;40222.24205802469;6516003.2134;38;23273.620319135804;3770326.4917;0.0005555555555555556;643555.872928395;ENCENDEDORES;TRONEX
3558428;33;5;36574.54980526315;6949164.4629999995;29;23297.38599105263;4426503.3383;0.013052631578947368;1206960.143573684;OTROS;TRONEX
3558883;16;1;49736.353282242984;5321789.8012;30;27764.680895327103;2970820.8558;0.01514018691588785;795781.6525158877;MANGANESO;TRONEX
3567515;6;10;38750.525499999996;620008.4079999999;9;23122.01358125;369952.2173;0.001875;232503.153;MANGANESO;TRONEX
3569133;13;33;44294.91227222222;2391925.2627;16;27421.77488888889;1480775.844;0.0011111111111111111;575833.8595388888;MANGANESO;TRONEX
3572818;18;16;42632.54523076923;2771115.44;22;27135.9009;1763833.5585;0.0;767385.8141538461;OTROS;TRONEX
3573864;13;61;44948.080571428574;3146365.64;14;28417.077851428574;1989195.4496000002;0.0;584325.0474285715;ALKALINAS;TRONEX
3580281;10;82;45918.02358695652;1056114.5425;12;28376.13070869565;652651.0063;0.010434782608695651;459180.2358695652;ALKALINAS;TRONEX
3583299;28;10;43556.68396721312;2656957.722;8;23259.921444262298;1418855.2081000002;0.0019672131147540984;1219587.1510819672;MANGANESO;TRONEX
